station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Foster Weather Station,2016-12-31 06:00:00,0,Safe,6,31,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-31 04:00:00,4,Safe,4,31,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-31 03:00:00,4,Safe,3,31,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-31 02:00:00,1,Safe,2,31,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-30 18:00:00,2,Safe,18,30,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-30 16:00:00,31,Safe,16,30,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-30 14:00:00,0,Safe,14,30,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-30 11:00:00,0,Safe,11,30,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-30 10:00:00,0,Safe,10,30,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-30 04:00:00,0,Safe,4,30,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-30 02:00:00,0,Safe,2,30,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-29 22:00:00,0,Safe,22,29,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-29 08:00:00,21,Safe,8,29,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-29 06:00:00,4,Safe,6,29,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-28 20:00:00,4,Safe,20,28,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-28 20:00:00,0,Safe,20,28,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-28 17:00:00,3,Safe,17,28,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-28 15:00:00,44,Safe,15,28,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-28 14:00:00,142,Safe,14,28,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-28 14:00:00,75,Safe,14,28,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-28 12:00:00,93,Safe,12,28,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-28 08:00:00,0,Safe,8,28,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-28 01:00:00,0,Safe,1,28,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-28 00:00:00,4,Safe,0,28,12,2016,41.780992,-87.572619
